1	355	58
2	426	322
3	439	415
4	267	303
5	321	18
6	385	453
7	462	514
8	495	559
9	561	277
10	133	386
11	494	409
12	101	365
13	116	317
14	321	86
15	406	517
16	435	662
17	439	606
18	486	496
19	222	249
20	266	297
21	299	350
22	397	77
23	433	395
24	255	122
25	257	120
26	309	180
27	382	144
28	383	442
29	419	588
30	588	278
31	620	239
32	621	244
33	355	71
34	356	71
35	418	73
36	418	581
37	95	369
38	282	418
39	395	62
40	403	449
41	414	62
42	414	63
43	432	395
44	472	591
45	588	271
46	129	376
47	273	577
48	277	449
49	320	314
50	362	35
51	403	487
52	433	652
53	438	717
54	464	631
55	304	314
56	399	576
57	408	333
