39096, 4800
13462, 1544
13658, 835
13238, 813
13693, 813
13770, 835
14211, 902
14491, 946
14183, 1000
14533, 959
14568, 1026
14876, 1028
14456, 1044
15170, 1037
15149, 1140
15002, 1108
15716, 1155
15604, 1231
15863, 1249
15975, 1276
16269, 1308
16227, 1352
16276, 1336
16731, 1397
16815, 1448
16689, 1385
17011, 1445
16976, 1410
17291, 1467
17396, 1560
17613, 1550
17662, 1581
17956, 1618
17984, 1629
18173, 1655
18236, 1652
18635, 1725
18369, 1702
18915, 2365
19111, 1730
19230, 1744
19622, 1772
19923, 1842
19860, 1821
19958, 1865
20266, 1861
20238, 1888
20357, 1870
20770, 1957
20609, 1911
21141, 2013
21260, 2011
21652, 2114
21554, 2039
21799, 2154
22191, 2111
22310, 2314
22828, 2324
22695, 2349
23269, 2423
23724, 2480
23871, 2539
23528, 2516
24543, 2625
24235, 2678
25313, 2735
24984, 2752
25817, 2799
25691, 2877
26307, 2902
25894, 2909
26769, 2979
26748, 3010
27301, 3087
26979, 3072
27665, 3053
26993, 3087
28260, 3155
27756, 3219
28225, 3240
28197, 3228
28673, 3285
28925, 3368
29471, 3427
29254, 3413
29989, 3462
29604, 3472
30563, 3586
30521, 3568
31004, 3657
30759, 3660
31263, 3711
31445, 3729
32075, 3776
32138, 3841
32796, 3926
32719, 3928
33636, 4017
33391, 4044
34063, 4094
33566, 4049
33776, 4073
34105, 4156
34399, 4150
33811, 4104
34833, 4238
34287, 4169
34294, 4156
34756, 4218
35008, 4276
35246, 4305
35540, 4337
35701, 4460
36471, 4447
36037, 4430
36632, 4499
36590, 4514
36961, 4537
36730, 4497
36863, 4563
37066, 4554
37605, 4655
37423, 4615
37934, 4693
38207, 4678
38060, 4714
38228, 4744
38914, 4857
38893, 4796
39579, 4974
39439, 4700
39579, 4684
40608, 4830
40426, 4808
40720, 4888
41091, 4913
41700, 4984
41427, 5275
42498, 5354
42666, 5411
42799, 5520
42995, 5447
43422, 5500
43562, 5541
43905, 5593
44325, 5613
44220, 5639
44577, 5685
45599, 5898
45319, 5765
46404, 5931
46222, 5918
46635, 6230
47209, 6062
46971, 6038
47643, 6114
47601, 6117
47559, 6094
48350, 6238
48469, 6195
48427, 6263
48791, 6324
49001, 6344
49449, 6409
49281, 6330
49960, 6498
50058, 6482
50149, 6508
49827, 6466
49960, 6506
50842, 6604
50646, 6560
51402, 6686
51563, 6730
51521, 6712
52186, 6801
52109, 6817
52039, 6790
52361, 6834
52508, 6871
53082, 6934
53418, 6994
53502, 7008
53824, 7050
54167, 7119
54657, 7181
54902, 7251
55049, 7236
55252, 7285
55224, 7220
55392, 7321
55399, 7282
55630, 7322
55616, 7307
55973, 7339
56008, 7378
56456, 7446
56477, 7439
56232, 7408
57233, 7552
56855, 7433
57156, 7550
57289, 7519
57058, 7580
57933, 7637
57450, 7589
58136, 7667
57758, 7608
58444, 7705
58577, 7733
58612, 7762
58696, 7764
58857, 7781
59151, 7840
59130, 7823
59354, 7826
59445, 7952
59970, 8184
59795, 7919
60425, 7958
60376, 8015
60257, 8005
60663, 8057
60362, 7980
60936, 8113
60936, 8160
61335, 8183
61398, 8097
61524, 8166
62378, 8282
62294, 8307
62448, 8303
62189, 8278
62448, 8340
62637, 8395
62434, 8430
62693, 8483
62735, 8362
63036, 8412
63638, 8452
63211, 8403
63092, 8413
63197, 8444
63750, 8491
63722, 8519
63995, 8818
64282, 8560
64296, 8570
63890, 8517
64303, 8541
64058, 8526
