1756	53999	65863
1765	54020	66817
1837	54041	66981
1901	54041	67603
1886	54048	67212
1702	54062	65209
2090	54118	70806
1765	54153	66076
1810	54160	66398
2292	54167	74964
1885	54188	67303
1709	54244	65820
2078	54412	70199
2058	54629	70199
2278	54657	74972
2057	54734	70283
2343	54902	75606
2079	54944	71003
2329	55049	75911
2070	55091	70915
2339	55224	76051
2366	55252	76564
2059	55273	71547
2069	55371	71423
2377	55392	76871
2368	55399	77024
2130	55406	72284
2402	55616	77415
2398	55630	77282
2072	55735	71199
2105	55903	72564
2423	55973	77936
2408	56008	77755
2037	56043	71232
2160	56085	73851
2213	56085	73622
2198	56113	73665
2075	56141	72423
2129	56155	72815
2061	56176	72164
2049	56225	71439
2452	56232	78204
2213	56246	74196
2155	56267	72864
2081	56309	72062
2232	56330	74649
2146	56337	73181
2091	56344	72100
2183	56351	73654
2190	56358	74250
2090	56379	71980
2184	56379	73430
2114	56386	72373
2076	56400	72516
2104	56400	72656
2165	56421	73580
2138	56449	73864
2387	56456	77560
2148	56470	73087
2390	56477	77669
2192	56484	73653
2099	56519	72721
2099	56554	72356
2206	56687	74141
2523	56855	79914
2208	56876	73813
2205	57037	74919
2460	57058	79415
2411	57156	78886
2233	57233	74858
2330	57233	77154
2448	57289	79887
2208	57366	74877
2241	57387	76289
2497	57450	81246
2229	57555	75441
2192	57604	74709
2220	57639	75496
2231	57681	75491
2474	57758	80056
2246	57891	76194
2195	57898	75865
2209	57919	75314
2348	57933	77774
2215	57968	75844
2210	57982	75460
2198	57989	75124
2246	58073	76268
2214	58087	75988
2388	58136	78807
2235	58178	76895
2266	58297	76664
2152	58325	74590
2204	58339	75435
2261	58374	77060
2294	58388	77651
2224	58416	75906
2294	58437	77523
2398	58444	79258
2279	58479	77143
2295	58549	77548
2446	58577	79955
2205	58591	76517
2264	58591	76945
2219	58598	76308
2251	58605	76900
2462	58612	80280
2202	58647	76914
2463	58696	80093
2230	58787	79007
2267	58808	77367
2205	58815	76280
2250	58829	76848
2446	58857	80228
2248	58885	77012
2271	58955	77134
2286	59060	78768
2473	59130	80579
2295	59144	77973
2444	59151	80126
2313	59284	78821
2315	59305	78935
2451	59354	80585
2504	59445	81576
2253	59683	77940
2273	59725	77866
2319	59746	78842
2571	59795	82392
2477	59970	81196
