0, 262144., 157864
491, 42533., 34246
630, 17872., 13468
516, 17270., 12081
631, 17655., 13590
559, 17606., 13599
647, 18299., 14541
619, 18544., 14633
595, 18656., 14769
614, 18481., 14783
621, 18880., 15576
636, 19020., 15613
608, 19132., 16000
664, 19104., 16041
664, 19818., 16865
634, 19587., 16390
674, 19720., 16703
685, 20511., 17726
691, 20441., 17828
665, 20518., 17905
715, 20980., 18661
685, 21064., 18566
715, 21232., 19171
730, 21386., 19415
753, 22002., 20247
700, 21715., 19796
739, 21862., 20265
696, 21883., 19792
769, 22359., 20612
767, 22660., 21154
785, 22891., 21742
821, 23360., 22424
822, 23416., 22285
815, 23661., 22760
843, 23885., 23183
833, 24004., 23208
879, 24389., 24099
853, 24606., 24186
891, 24606., 24488
930, 25425., 24056
894, 25369., 23861
972, 26034., 24951
949, 26265., 25150
926, 26405., 25301
918, 26286., 25485
967, 26727., 25999
935, 26811., 25910
962, 26972., 26236
967, 27126., 26613
988, 27686., 27373
991, 27546., 27382
1023, 28302., 28381
1025, 28435., 28657
996, 28624., 28795
1021, 28701., 29120
1052, 29163., 29887
1050, 29541., 30235
1062, 29744., 33002
1081, 30395., 33971
1112, 30479., 34108
1126, 31151., 34921
1179, 31977., 35995
1138, 31837., 35826
1190, 31858., 36295
1166, 32705., 36867
1238, 32901., 38440
1184, 33601., 38297
1308, 34140., 39810
1236, 34469., 39836
1309, 34854., 40893
1271, 35204., 41005
1338, 35260., 41677
1305, 35904., 42027
1374, 36366., 42983
1352, 36765., 43482
1368, 36555., 43722
1347, 37094., 43692
1426, 36975., 44281
1415, 38165., 46846
1411, 37633., 45149
1458, 38431., 46278
1472, 38501., 46321
1504, 39201., 47130
1516, 39537., 47663
1526, 40153., 48181
1530, 39964., 48032
1540, 40769., 49243
1587, 40713., 49478
1590, 41693., 50971
1639, 41994., 51134
1574, 42022., 51021
1620, 42099., 51191
1591, 42400., 52462
1632, 42869., 52490
1595, 43240., 52208
1624, 43506., 52742
1677, 44535., 54455
1698, 44605., 54481
1684, 45424., 55128
1747, 45620., 55765
1726, 46145., 56362
1698, 45452., 55589
1749, 46019., 56250
1741, 46292., 56433
1643, 45900., 55645
1729, 45914., 56264
1640, 46313., 56456
1720, 46327., 57672
1715, 46299., 56970
1814, 47454., 58366
1759, 47321., 57882
1783, 47727., 58330
1779, 47993., 58474
1857, 48700., 59663
1784, 48959., 59427
1836, 48889., 60055
1826, 49414., 60422
1856, 49582., 60930
1879, 50114., 61366
1813, 49421., 60685
1837, 49722., 61054
1845, 49981., 61290
1814, 50303., 61239
1869, 50506., 62174
1854, 50912., 62776
1827, 50996., 62289
1884, 51248., 63386
1857, 51227., 63038
1878, 52060., 63111
1925, 52368., 64360
1910, 52949., 64345
1897, 52718., 60104
1938, 53145., 60333
1945, 54223., 60722
1966, 54188., 61413
1967, 54489., 61740
2000, 55091., 62278
1990, 55630., 67612
2029, 55630., 68583
2013, 56589., 68542
2054, 57044., 69431
2033, 57030., 70398
2069, 57478., 70251
2060, 57842., 70229
2073, 58073., 70719
2096, 58577., 71446
2061, 58752., 71735
2070, 58710., 71885
2122, 59431., 72347
2090, 60229., 72456
2124, 60187., 73573
2083, 60985., 73592
2102, 60936., 74322
2152, 61699., 75587
2120, 62049., 75049
2148, 62007., 75480
2145, 62658., 76236
2142, 62595., 76259
2164, 62707., 76369
2181, 63617., 77267
2150, 63519., 77731
2185, 63722., 77643
2186, 64093., 78518
2219, 64534., 78454
2195, 64814., 78391
2267, 65150., 79303
2193, 65311., 79506
2237, 65717., 80301
2222, 65703., 79800
2217, 65346., 79532
2238, 65626., 80479
2201, 66249., 80123
2229, 66249., 80547
2287, 67411., 81347
2248, 67299., 81780
2274, 67439., 82437
2275, 68111., 82141
2263, 67950., 83039
2299, 68132., 83866
2267, 68230., 82780
2322, 68762., 83385
2325, 69357., 83954
2326, 69700., 84269
2345, 69917., 84745
2341, 70211., 85126
2348, 70603., 86159
2378, 71303., 86312
2350, 71352., 86467
2395, 71814., 87272
2335, 71597., 86896
2401, 72031., 87327
2369, 71975., 87227
