MAX = 0.073789, SUPERMAX = 0.073789

Maior intensidade encontrada dentre todas as 1000 iteracoes = 15.325131
Maior intensidade encontrada nos dados originais = 6.961601
Numero de vezes que a maior intensidade de uma iteracao foi maior que a original: 82

Iteracao i   Numero maximo de pontos	  Estatistica scan
		pretos dentro de SG
0: 			8, 			1.853036
1: 			13, 			3.832799
2: 			15, 			2.234707
3: 			17, 			2.820052
4: 			13, 			3.752459
5: 			9, 			1.320747
6: 			12, 			0.989882
7: 			16, 			3.127482
8: 			11, 			1.121630
9: 			9, 			4.024483
10: 			12, 			1.482786
11: 			9, 			1.369460
12: 			12, 			1.804831
13: 			12, 			1.440202
14: 			13, 			0.202413
15: 			10, 			2.853984
16: 			15, 			0.257682
17: 			13, 			6.635509
18: 			10, 			5.699613
19: 			9, 			2.491356
20: 			9, 			0.128002
21: 			15, 			1.183578
22: 			18, 			1.128206
23: 			16, 			6.693411
24: 			11, 			2.915016
25: 			20, 			5.909086
26: 			17, 			3.265637
27: 			10, 			0.003160
28: 			11, 			2.179392
29: 			16, 			1.309300
30: 			8, 			6.474821
31: 			15, 			6.155441
32: 			12, 			1.615568
33: 			11, 			0.909264
34: 			10, 			2.624117
35: 			14, 			1.228200
36: 			13, 			0.945433
37: 			15, 			1.655888
38: 			18, 			6.196855
39: 			13, 			4.913223
40: 			7, 			1.457103
41: 			12, 			1.904947
42: 			12, 			0.691902
43: 			16, 			5.408185
44: 			18, 			7.063865
45: 			13, 			3.595826
46: 			16, 			4.806549
47: 			14, 			3.988690
48: 			11, 			3.742445
49: 			9, 			1.577094
50: 			11, 			0.386596
51: 			12, 			3.445108
52: 			13, 			2.635955
53: 			21, 			6.209917
54: 			10, 			2.081515
55: 			23, 			7.864076
56: 			6, 			2.312280
57: 			9, 			1.470663
58: 			12, 			3.213371
59: 			12, 			2.172190
60: 			13, 			2.635955
61: 			12, 			1.201490
62: 			14, 			1.094327
63: 			17, 			2.055758
64: 			12, 			2.062307
65: 			12, 			0.322917
66: 			13, 			4.082231
67: 			8, 			0.789580
68: 			8, 			0.375443
69: 			12, 			2.994130
70: 			11, 			2.628460
71: 			17, 			0.728181
72: 			13, 			1.831096
73: 			8, 			7.455211
74: 			15, 			3.785249
75: 			17, 			3.324585
76: 			9, 			1.994428
77: 			15, 			3.181312
78: 			10, 			0.831503
79: 			12, 			2.172190
80: 			15, 			5.074264
81: 			9, 			3.274223
82: 			12, 			2.994130
83: 			9, 			0.973022
84: 			13, 			1.926835
85: 			9, 			0.546044
86: 			7, 			1.020524
87: 			17, 			3.567958
88: 			16, 			3.761915
89: 			13, 			2.823008
90: 			13, 			2.400842
91: 			10, 			9.255703
92: 			9, 			1.369460
93: 			10, 			3.744277
94: 			15, 			5.165329
95: 			11, 			2.005513
96: 			14, 			0.475600
97: 			15, 			6.595986
98: 			20, 			3.554092
99: 			16, 			3.187151
100: 			16, 			2.953240
101: 			12, 			0.893581
102: 			10, 			2.934126
103: 			14, 			1.447507
104: 			12, 			2.654577
105: 			14, 			0.697195
106: 			24, 			9.132154
107: 			12, 			8.479991
108: 			15, 			4.156285
109: 			20, 			3.898890
110: 			11, 			3.563057
111: 			11, 			1.949860
112: 			11, 			1.084239
113: 			6, 			1.198917
114: 			9, 			2.060213
115: 			11, 			2.301301
116: 			8, 			1.121304
117: 			12, 			1.057541
118: 			15, 			4.638613
119: 			12, 			2.923701
120: 			16, 			1.519692
121: 			18, 			6.106263
122: 			10, 			6.166017
123: 			11, 			4.025999
124: 			12, 			1.398438
125: 			15, 			2.138095
126: 			20, 			4.524289
127: 			15, 			4.079913
128: 			10, 			0.798850
129: 			15, 			3.644184
130: 			9, 			2.732569
131: 			17, 			4.597870
132: 			11, 			0.246396
133: 			16, 			2.181513
134: 			14, 			3.988690
135: 			11, 			0.189269
136: 			12, 			5.615950
137: 			9, 			4.024483
138: 			12, 			4.514134
139: 			14, 			1.447507
140: 			8, 			0.588629
141: 			13, 			3.370626
142: 			8, 			1.121304
143: 			13, 			1.521251
144: 			20, 			6.154104
145: 			14, 			4.841625
146: 			14, 			1.525765
147: 			15, 			6.826848
148: 			9, 			2.127657
149: 			23, 			6.527686
150: 			12, 			7.279161
151: 			14, 			1.565895
152: 			14, 			2.005845
153: 			15, 			5.351583
154: 			9, 			0.444165
155: 			12, 			2.465318
156: 			12, 			0.476505
157: 			11, 			5.895248
158: 			17, 			4.024488
159: 			10, 			0.566097
160: 			11, 			1.687964
161: 			8, 			3.554343
162: 			16, 			3.187151
